id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1,0,2,3,2,17,16,19,10,13,18,17,3,5,2,6,23,5,19,17,24,17,4,12,7,24,22,19,19,34,19,20,19,20,8,14,23,19,5
2,2,0,6,7,22,21,25,16,19,20,13,6,7,6,7,25,11,26,13,20,14,8,5,3,31,29,26,25,33,24,25,16,17,10,12,24,28,11
3,3,6,0,2,15,17,21,13,16,23,16,2,3,2,4,20,4,26,16,23,17,6,10,7,26,21,26,26,36,18,19,19,19,7,13,20,22,3
4,2,7,2,0,19,19,21,13,16,23,16,2,3,2,5,20,4,21,16,23,17,6,11,7,26,21,21,21,36,18,23,19,19,6,14,20,22,3
5,17,22,15,19,0,1,24,18,16,29,30,16,15,17,16,9,14,31,31,39,30,19,25,21,10,8,31,31,46,13,14,32,34,6,27,8,24,15
6,16,21,17,19,1,0,24,18,13,29,30,16,15,17,16,9,13,31,30,39,30,19,25,22,10,8,31,31,46,13,14,32,34,6,28,9,24,15
7,19,25,21,21,24,24,0,14,14,15,23,22,24,21,24,27,20,8,23,24,23,21,26,27,25,21,8,8,21,15,14,23,26,23,23,27,4,19
8,10,16,13,13,18,18,14,0,4,22,22,13,14,11,15,24,10,19,23,32,22,12,24,18,19,14,19,19,32,10,15,25,29,13,24,24,14,10
9,13,19,16,16,16,13,14,4,0,19,20,7,5,4,7,19,3,21,21,27,21,7,16,12,21,19,21,21,36,16,18,23,23,4,24,17,15,8
10,18,20,23,23,29,29,15,22,19,0,6,22,24,22,25,38,25,12,6,12,6,15,14,22,41,36,12,12,16,30,30,7,12,27,12,38,18,21
11,17,13,16,16,30,30,23,22,20,6,0,5,3,3,5,19,3,20,21,28,21,6,14,11,25,23,20,20,35,18,19,23,24,5,6,34,24,17
12,3,6,2,2,16,16,22,13,7,22,5,0,2,3,3,21,6,27,16,23,17,6,10,6,27,25,27,27,36,20,23,19,20,7,12,21,22,8
13,5,7,3,3,15,15,24,14,5,24,3,2,0,4,3,20,4,28,18,25,19,7,12,8,26,24,28,28,38,20,21,21,22,6,15,20,23,5
14,2,6,2,2,17,17,21,11,4,22,3,3,4,0,6,21,5,21,18,25,18,5,12,8,26,23,21,21,37,21,22,20,21,7,9,24,21,6
15,6,7,4,5,16,16,24,15,7,25,5,3,3,6,0,20,5,27,18,25,18,8,11,8,26,24,27,27,37,19,20,20,21,5,15,21,21,3
16,23,25,20,20,9,9,27,24,19,38,19,21,20,21,20,0,20,32,36,44,37,25,30,27,12,10,32,32,45,15,16,39,40,12,14,20,23,5
17,5,11,4,4,14,13,20,10,3,25,3,6,4,5,5,20,0,23,22,31,21,11,18,15,22,17,23,23,37,15,16,24,26,3,3,31,31,17
18,19,26,26,21,31,31,8,19,21,12,20,27,28,21,27,32,23,0,19,19,18,16,21,29,30,26,0,0,17,20,19,18,21,26,10,26,26,12
19,17,13,16,16,31,30,23,23,21,6,21,16,18,18,18,36,22,19,0,10,1,13,8,16,37,35,19,19,19,32,33,4,7,21,33,3,26,20
