id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1,0,10,10,10,30,20,30,20,20,40,30,20,20,10,20,30,20,30,30,30,30,10,20,20,40,30,30,30,50,30,30,30,30,20,20,30,30,20
2,10,0,20,20,30,30,30,30,30,30,30,20,20,20,20,30,20,30,20,30,30,20,20,10,40,30,30,30,40,30,30,30,30,10,20,20,30,20
3,10,20,0,10,30,30,30,20,30,30,30,10,10,10,20,30,10,40,20,30,30,20,20,20,40,30,40,30,40,30,30,30,30,20,20,30,30,20
4,10,20,10,0,30,30,30,20,30,30,30,10,10,10,20,30,10,40,20,30,30,20,20,20,40,30,40,30,40,30,30,30,30,20,20,30,30,20
5,30,30,30,30,0,10,30,30,30,40,40,30,20,30,30,20,20,40,40,40,40,30,30,30,20,20,40,40,50,20,30,40,40,20,40,20,30,30
6,20,30,30,30,10,0,30,30,30,40,40,30,30,30,30,20,20,40,40,40,40,30,30,30,20,20,40,40,50,20,30,40,40,20,40,20,30,30
7,30,30,30,30,30,30,0,20,20,20,30,30,30,30,30,30,20,20,30,30,30,30,30,40,30,30,20,10,30,20,20,30,40,30,30,30,10,30
8,20,30,20,20,30,30,20,0,10,30,30,20,20,20,30,30,20,30,30,40,30,20,30,30,30,30,30,30,40,30,20,40,40,20,30,30,20,20
9,20,30,30,30,30,30,20,10,0,30,30,20,20,20,20,30,10,30,30,30,30,20,30,30,30,30,30,30,40,30,30,30,30,20,30,30,20,20
10,40,30,30,30,40,40,20,30,30,0,20,30,30,30,30,40,30,20,10,20,20,20,20,30,50,40,20,20,30,40,30,20,20,30,30,20,30,20
11,30,30,30,30,40,40,30,30,30,20,0,20,10,20,20,20,10,30,30,30,30,20,20,20,30,30,30,30,50,30,30,30,30,10,20,40,30,30
12,20,20,10,10,30,30,30,20,20,30,20,0,10,10,20,30,20,40,30,30,30,20,20,20,40,30,40,40,50,30,30,30,30,20,20,40,30,30
13,20,20,10,10,20,30,30,20,20,30,10,10,0,20,10,20,10,30,30,30,30,20,20,20,30,30,30,30,50,30,30,30,30,10,20,30,30,20
14,10,20,10,10,30,30,30,20,20,30,20,10,20,0,20,30,20,30,30,30,30,20,30,30,40,30,30,30,50,30,30,30,30,20,20,20,30,20
15,20,20,20,20,30,30,30,30,20,30,20,20,10,20,0,20,10,30,20,30,20,20,20,10,30,30,30,30,40,30,30,30,30,10,20,30,30,20
16,30,30,30,30,20,20,30,30,30,40,20,30,20,30,20,0,20,40,40,50,40,30,30,30,20,20,40,40,50,20,20,40,40,20,30,30,30,20
17,20,20,10,10,20,20,20,20,10,30,10,20,10,20,10,20,0,30,30,30,30,20,20,20,30,30,30,30,40,20,20,30,30,10,20,20,30,20
18,30,30,40,40,40,40,20,30,30,20,30,40,30,30,30,40,30,0,30,30,30,20,30,30,40,30,0,0,30,30,30,30,30,30,20,30,40,30
19,30,20,20,20,40,40,30,30,30,10,30,30,30,30,20,40,30,30,0,20,10,20,20,20,50,40,30,20,30,40,40,10,10,20,30,10,30,30
20,30,30,30,30,40,40,30,40,30,20,30,30,30,30,30,50,30,30,20,0,20,30,30,30,50,50,20,20,30,40,40,20,20,30,40,20,30,40
21,30,30,30,30,40,40,30,30,30,20,30,30,30,30,20,40,30,30,10,20,0,20,20,30,50,40,30,30,30,40,40,20,20,30,40,20,30,30
22,10,20,20,20,30,30,30,20,20,20,20,20,20,20,20,30,20,20,20,30,20,0,20,30,40,30,20,20,40,30,30,30,30,20,30,20,30,20
23,20,20,20,20,30,30,30,30,30,20,20,20,20,30,20,30,20,30,20,30,20,20,0,20,40,40,30,30,40,30,40,20,20,20,30,30,20,30
24,20,10,20,20,30,30,40,30,30,30,20,20,20,30,10,30,20,30,20,30,30,30,20,0,40,30,40,40,40,30,30,30,30,10,30,30,20,30
25,40,40,40,40,20,20,30,30,30,50,30,40,30,40,30,20,30,40,50,50,50,40,40,40,0,20,40,40,50,20,30,50,50,30,30,50,40,50
26,30,30,30,30,20,20,30,30,30,40,30,30,30,30,30,20,30,30,40,50,40,30,40,30,20,0,40,30,50,20,20,50,50,30,30,30,20,30
27,30,30,40,40,40,40,20,30,30,20,30,40,30,30,30,40,30,0,30,20,30,20,30,40,40,40,0,0,30,30,30,30,30,30,40,20,20,30
28,30,30,30,30,40,40,10,30,30,20,30,40,30,30,30,40,30,0,20,20,30,20,30,40,40,30,0,0,30,30,30,30,30,30,40,20,20,30
29,50,40,40,40,50,50,30,40,40,30,50,50,50,50,40,50,40,30,30,30,30,40,40,40,50,50,30,30,0,50,40,30,30,40,20,40,40,30
30,30,30,30,30,20,20,20,30,30,40,30,30,30,30,30,20,20,30,40,40,40,30,30,30,20,20,30,30,50,0,10,40,40,20,20,40,40,30
